Date, Open, High, Low, Close, Volume
03/02/23, 0.46, 0.4699, 0.4486, 0.4526, 689775
03/01/23, 0.455, 0.4689, 0.451, 0.4627, 1415852
02/28/23, 0.475, 0.475, 0.45, 0.46, 1207309
02/27/23, 0.458, 0.476, 0.452, 0.4644, 562073
02/24/23, 0.456, 0.498, 0.456, 0.4645, 597380
02/23/23, 0.467, 0.47, 0.4574, 0.463, 767627
02/22/23, 0.4653, 0.4728, 0.45, 0.462, 1682781
02/21/23, 0.475, 0.4888, 0.455, 0.4728, 1391567
02/17/23, 0.477, 0.482, 0.4701, 0.4712, 423518
02/16/23, 0.49, 0.49, 0.4744, 0.4786, 775960
02/15/23, 0.49, 0.49, 0.4708, 0.4875, 659092
02/14/23, 0.49, 0.50, 0.475, 0.475, 994766
02/13/23, 0.48, 0.50, 0.48, 0.4899, 1765127
02/10/23, 0.4815, 0.49, 0.48, 0.4803, 584972
02/09/23, 0.46, 0.497, 0.46, 0.4852, 1456257
02/08/23, 0.455, 0.471, 0.4512, 0.47, 1217729
02/07/23, 0.45, 0.475, 0.45, 0.4649, 1577482
02/06/23, 0.46, 0.48, 0.4415, 0.466, 1891766
02/03/23, 0.48, 0.48, 0.46, 0.4689, 1032523
02/02/23, 0.49, 0.50, 0.4486, 0.47, 3995097
02/01/23, 0.4693, 0.49, 0.4677, 0.4849, 1382916
01/31/23, 0.47, 0.47, 0.46, 0.4668, 778272
01/30/23, 0.4611, 0.475, 0.45, 0.4647, 1500207
01/27/23, 0.49, 0.50, 0.445, 0.4701, 2637836
01/26/23, 0.4962, 0.514, 0.492, 0.495, 1776169
01/25/23, 0.509, 0.5145, 0.492, 0.4999, 1890383
01/24/23, 0.485, 0.509, 0.481, 0.508, 3902589
01/23/23, 0.495, 0.515, 0.475, 0.4902, 2588079
01/20/23, 0.472, 0.495, 0.47, 0.4932, 1144987
01/19/23, 0.51, 0.515, 0.47, 0.47, 1611962
01/18/23, 0.443, 0.556, 0.431, 0.50, 8781490
01/17/23, 0.431, 0.452, 0.431, 0.4489, 1337824
01/13/23, 0.43, 0.4447, 0.42, 0.4312, 1263474
01/12/23, 0.435, 0.435, 0.4251, 0.434, 904948
01/11/23, 0.441, 0.46, 0.4252, 0.435, 1030695
01/10/23, 0.4385, 0.45, 0.4275, 0.4452, 676754
01/09/23, 0.4411, 0.4624, 0.4305, 0.431, 1718303
01/06/23, 0.44, 0.446, 0.4022, 0.4436, 1971619
01/05/23, 0.4923, 0.4923, 0.421, 0.438, 2386880
01/04/23, 0.459, 0.5199, 0.455, 0.4768, 8547562
01/03/23, 0.3521, 0.4534, 0.3521, 0.445, 5771212
12/30/22, 0.36, 0.365, 0.3505, 0.3534, 6004226
12/29/22, 0.361, 0.37, 0.3601, 0.363, 3407545
12/28/22, 0.379, 0.3844, 0.36, 0.3677, 3105773
12/27/22, 0.3811, 0.39, 0.3786, 0.381, 3244014
12/23/22, 0.385, 0.39, 0.38, 0.3813, 1692119
12/22/22, 0.386, 0.3899, 0.3855, 0.3861, 1536969
12/21/22, 0.405, 0.405, 0.3851, 0.3872, 1222486
12/20/22, 0.395, 0.40, 0.385, 0.3893, 2695000
12/19/22, 0.4049, 0.408, 0.40, 0.4025, 1694826
12/16/22, 0.4054, 0.41, 0.401, 0.4057, 1414501
12/15/22, 0.4109, 0.415, 0.40, 0.401, 3011210
12/14/22, 0.41, 0.4149, 0.405, 0.4149, 1477196
